,ideal answer,students answer,lable
0,consequences faced weavers due east india companys control textile trade devastating company imposed high taxes tariffs indian textiles making impossible local weavers compete british imports led sharp decline demand indian textiles domestically internationally causing many weavers lose livelihoods british also introduced mechanized looms reduced demand handwoven fabrics result many weavers faced poverty unemployment starvation leading social unrest economic instability region,weavers faced consequences result british east india companys control textile trade company imposed high taxes tariffs indian textiles affecting livelihoods many weavers led decline demand indian textiles causing economic hardship weavers however weavers able adapt changing market conditions producing different types fabrics finding alternative sources income,partially correct
1,ahmad shah abdalis invasion india response najib khans instigation resulted third battle panipat 1761 despite outnumbered abdalis forces emerged victorious leading significant loss life sides decline maratha empire,ahmad shah abdalis invasion india response najib khans provocation happened second battle panipat 1750 battle marked significant turning point history mughal empire,incorrect
2,one example destructive impact colonialism economy livelihoods colonized people exploitation natural resources benefit colonizing country leading environmental degradation economic dependence,prime instance destructive impact colonialism economy livelihoods colonized people imposition cash crop agriculture displacing traditional subsistence farming causing food insecurity,correct
3,tricolour flags used nationalist movements india symbolize unity saffron representing courage sacrifice white representing truth peace green representing faith chivalry design conceptualized pingali venkayya officially adopted flag india 1947 spinning wheel center represents gandhian principles selfreliance resilience flag served rallying symbol indians fighting independence british colonial rule,tricolour flags used nationalist movements india symbolize aspirations indian people freedom selfgovernance saffron color represents courage sacrifice white represents truth peace green represents faith chivalry design inspired swaraj flag adopted national flag india july 22 1947 spinning wheel center symbolizes progress gandhian principles selfreliance,correct
4,french colonies saintdomingue modernday haiti martinique guadeloupe louisiana important suppliers commodities like tobacco indigo sugar coffee saintdomingue particular leading producer sugar coffee world 18th century lucrative trade commodities helped enrich france establish colonial empire americas,british colonies virginia massachusetts georgia important suppliers commodities like tobacco indigo sugar coffee colonies played key role supplying raw materials europe colonial era production commodities helped drive economic growth british colonies strengthen ties mother country,incorrect
5,weavers revolt silesia 1845 significant event showcased struggles faced workers textile industry industrial revolution journalist wilhelm wolff documented harsh working conditions low wages weavers endured leading decision go strike weavers demanded fair wages better working conditions end exploitation contractors protest escalated fullblown revolt weavers organizing demonstrations sabotaging machinery factories contractors responded hiring extra security forces suppress revolt resulting violent clashes weavers authorities many weavers arrested injured even killed protests despite harsh crackdown contractors weavers revolt sparked wider conversation workers rights paved way future labor movements silesia,weavers revolt silesia 1845 according journalist wilhelm wolff pivotal moment history labor rights weavers fed exploitative working conditions meager wages decided take stand contractors organized strikes protests demand fair treatment better pay contractors alarmed weavers actions responded bringing additional security forces quell unrest led violent confrontations weavers authorities resulting numerous casualties arrests,correct
6,ahmad shah abdali marched towards punjab 1751 ce expand empire crush maratha power region aimed establish authority wealthy fertile lands punjab strategically significant control indian subcontinent abdalis military campaign towards punjab part larger goal assert dominance south asia weaken maratha confederacy,ahmad shah abdali marched towards punjab 1751 ce counter rising power marathas assert authority region invasion part abdalis larger ambitions control key territories india maintain balance power among various indian states period,partially correct
7,conservatives believed traditional institutions monarchy church aristocracy preserved saw institutions crucial maintaining stability order continuity society conservatives valued hierarchy authority institutions represented viewing integral preserving social cohesion upholding traditional values,conservatives believed preserving certain traditional institutions like monarchy church viewed institutions important maintaining stability order society however conservatives also supported gradual changes certain aspects institutions ensure relevance changing world,partially correct
8,bajirao time india invaded nizamulmulk asaf jah ruler hyderabad state bajirao responded swiftly mobilizing army engaging series successful military campaigns defend territories,india invaded mughal empire bajirao time responded surrendering ceding control territories,incorrect
9,focus romantic cultural movement emphasizing emotion individualism nature supernatural art literature music late 18th mid19th centuries,romantic cultural movement emphasized emotion individualism nature supernatural art literature music late 18th mid19th centuries,correct
